StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form Q1a,Gender,Age,Alcohol,"Memorable word ",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Question 3a_1,Question 3c_1,Question 3g_1,Question 3h_1,Question 3e_1,Question 3f_1,Question 3b_1,Question 3d_1,FL_18_DO,FL_13_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I have read and understood the Participant Information Sheet, and I consent to take part in the above study. 
I confirm that I have read and understood how my data will be stored and used.",Please select your gender,What is your age?,Do you consume alcoholic beverages?,Please write any memorable word (this will be used to create a non-identifiable participant ID),Click to write the question text,What is your favourite animal?,What is your favourite season?,If you could have a superpower what would it be?,Which is your dominant hand?,"You’re on a desert island, but you’re only allowed to bring one of the following items. Which do you pick?",How would you describe your walk?,What do you value most in a friend?,"If you were to drink this weekend, how many pints of beer (~568 ml, ABV 5.2%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many glasses of red wine (175ml, ABV 12%) do you intend to drink? - Number of drinks","If you intend to drink this weekend, how many pints of cider (~568 ml, ABV 5.2%) do you intend to drink? - Number of Drinks","If you intend to drink this weekend, how many glasses of white wine (175ml, ABV 12%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of rum (25ml, ABV 40%) do you intend to drink? - Number of Drinks","If you intend to drink this weekend, how many shots of gin (25ml, ABV 40%) do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of tequila or single mixed tequila drinks do you intend to drink? - Number of Drinks","If you were to drink this weekend, how many shots of vodka (25ml, ABV 40%) do you intend to drink? - Number of Drinks",FL_18 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""FL_18_DO""}","{""ImportId"":""FL_13_DO""}"
2024-02-05 16:08:39,2024-02-05 16:09:20,Survey Preview,,100,40,True,2024-02-05 16:09:21,R_87HHd5NtOzNcXHd,,,,,55.9552,-3.2,preview,EN,,Female,20,yes,hi,A Castle in Scotland,,,,,,,,3,,,,,,,,"Results(F,control)|Results(F,Threat)",
2024-02-05 16:12:13,2024-02-05 16:12:29,Survey Preview,,100,15,True,2024-02-05 16:12:29,R_8ENPzmWvEFSUXaF,,,,,55.9552,-3.2,preview,EN,,Male,,yes,,A Castle in Scotland,,,,,,,,,,,,,,,,,"Results(M,Threat)"
2024-02-05 16:12:43,2024-02-05 16:12:54,Survey Preview,,100,10,True,2024-02-05 16:12:55,R_82ticQtfP3phJ4n,,,,,55.9552,-3.2,preview,EN,,Non-binary / third gender,,yes,,,,,,,,,,,,,,,,,,,
2024-02-12 13:19:47,2024-02-12 13:20:12,Survey Preview,,100,24,True,2024-02-12 13:20:13,R_6TsFWHuNVBcgdMA,,,,,55.9477,-3.1624,preview,EN,,Non-binary / third gender,,,kakak,,,,,,,,,,,,,,,,,,
2024-02-12 13:19:53,2024-02-12 13:20:55,Survey Preview,,100,62,True,2024-02-12 13:20:55,R_2JD6MgjMAYivLpg,,,,,55.9477,-3.1624,preview,EN,,Male,21,yes,"Benson ",A Lakehouse in France,,,,,,,,,,,,,,,,,BL_8lh5nF55J2kC0bs
2024-02-13 10:46:27,2024-02-13 10:47:25,Survey Preview,,100,57,True,2024-02-13 10:47:26,R_6t3gqkmxw7NqxSH,,,,,55.9477,-3.1624,preview,EN,,Female,,yes,lalala,,,,,,,,,,,,,,,,,"Results(F,control)",
2024-02-14 15:05:51,2024-02-14 15:07:04,Survey Preview,,100,73,True,2024-02-14 15:07:06,R_6Hw5UFm2ZvINvmp,,,,,55.9477,-3.1624,preview,EN,,Female,,yes,lalala,,,,,,,,,,,,,,,,,"Results(F,Threat)",
2024-02-14 15:20:23,2024-02-14 15:56:37,Survey Preview,,100,2174,True,2024-02-14 15:56:38,R_25D6WwmYf6480Hn,,,,,55.9477,-3.1624,preview,EN,Yes,Male,21,yes,"Benson ",A Rainforest Getaway in Costa Rica,Lizard,Spring,Invisibility,Left,A bottle of water purifying tablets,"Less fast, head up, looking at the world",Fun and adventurous spirit,3,9,,,,,2,9,,"Results(M,Control)"
2024-02-21 19:09:23,2024-02-21 19:10:51,Survey Preview,,100,88,True,2024-02-21 19:10:52,R_7HZ4ULqwLt42Dn3,,,,,55.9144,-3.1637,preview,EN,Yes,Female,20,yes,cottage,A Castle in Scotland,Dog,Summer,Flying,Left,A bottle of water purifying tablets,"Fairly fast, with small steps",Loyalty,10,,,,,,7,,"Results(F,Threat)|Results(F,control)",
2024-02-22 18:44:28,2024-02-22 18:47:04,Survey Preview,,100,155,True,2024-02-22 18:47:05,R_1dMF8aI4IWJO5GF,,,,,53.4788,-2.2585,preview,EN,Yes,Non-binary / third gender,,no,hh,,,,,,,,,,,,,,,,,,
2024-02-26 13:14:40,2024-02-26 13:15:06,Survey Preview,,100,25,True,2024-02-26 13:15:07,R_2FQDi8eYtz0NQvO,,,,,56.4597,-2.9775,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,
2024-02-26 13:15:11,2024-02-26 13:20:21,Survey Preview,,100,310,True,2024-02-26 13:20:22,R_2fxWk5uWHt0AYMj,,,,,56.4597,-2.9775,preview,EN,Yes,Female,,yes,ghghgh,,,,,,,,,,,,,,,,,"Results(F,control)",
2024-02-26 14:04:58,2024-02-26 14:07:58,IP Address,192.41.114.226,100,179,True,2024-02-26 14:07:58,R_6jeV0UwCn4ujgVS,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,20,yes,dog,A Lakehouse in France,Dog,Summer,Teleportation,Left,A bottle of water purifying tablets,"Fairly fast, with long steps",Intellectual stimulation,,0,3,5,,,,2,"Results(F,Threat)",
2024-02-27 10:47:42,2024-02-27 10:49:45,IP Address,89.101.46.3,100,123,True,2024-02-27 10:49:46,R_2NINs5neFXJfqvC,,,,,53.3297,-6.2708,anonymous,EN,Yes,Female,19,yes,Workshop,Seaside Villa Greece,Tiger,Spring,Teleportation,Right,A knife,"Fairly fast, with long steps",Understanding and empathy,4,3,0,2,2,1,3,5,"Results(F,control)",
2024-02-27 12:52:40,2024-02-27 12:57:22,IP Address,129.215.112.149,100,282,True,2024-02-27 12:57:23,R_6eJfslkmaS11zRd,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,yes,delete,A Rainforest Getaway in Costa Rica,Dog,Autumn,Mindreading,Right,A bottle of water purifying tablets,Very slowly,Understanding and empathy,4,2,,2,0,,1,,"Results(F,Threat)",
2024-02-27 16:02:21,2024-02-27 16:05:35,IP Address,92.237.133.42,100,193,True,2024-02-27 16:05:35,R_7BPKnYUK2DM9KNf,,,,,55.9552,-3.2,anonymous,EN,Yes,Male,20,yes,Ass,Seaside Villa Greece,Cat,Winter,Mindreading,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",A good sense of humour,8,,2,,4,0,,10,,"Results(M,Threat)"
2024-02-27 16:05:56,2024-02-27 16:07:57,IP Address,104.28.89.27,100,120,True,2024-02-27 16:07:57,R_2IhpZvOwKFsHsaE,,,,,53.4788,-2.2585,anonymous,EN,Yes,Female,23,no,avogato,,,,,,,,,,,,,,,,,,
2024-02-27 16:14:47,2024-02-27 16:21:47,IP Address,31.94.23.95,100,420,True,2024-02-27 16:21:47,R_7njSYzFxfA8xHbc,,,,,55.8306,-4.2593,anonymous,EN,Yes,Female,21,yes,green,A Lakehouse in France,Dog,Summer,Mindreading,Both,A knife,"Fairly fast, with long steps",Understanding and empathy,1,2,1,,,,,,"Results(F,Threat)",
2024-02-27 16:21:15,2024-02-27 16:24:42,IP Address,77.97.193.236,100,207,True,2024-02-27 16:24:42,R_3Rl9GGHzNv2FWpd,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,20,yes,nintendo,A Lakehouse in France,Dog,Autumn,Flying,Right,A bottle of water purifying tablets,"Less fast, head up, looking at the world",Loyalty,,,,,2,,,,"Results(F,control)",
2024-02-27 16:40:14,2024-02-27 16:45:40,IP Address,192.41.114.229,100,326,True,2024-02-27 16:45:41,R_2RpRYGRtBq05Rwy,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,20,yes,"Dog ",A Lakehouse in France,Dog,Summer,Teleportation,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,2,3,,2,2,,,2,"Results(F,Threat)",
2024-02-27 16:46:09,2024-02-27 16:54:53,IP Address,192.41.114.229,100,524,True,2024-02-27 16:54:54,R_5OZ83QUXQClyFuK,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,22,yes,shitme,Seaside Villa Greece,Cat,Spring,Flying,Both,A knife,"Less fast, head down",A good sense of humour,1,,4,,2,,4,,"Results(F,Threat)",
2024-02-27 16:59:39,2024-02-27 17:03:54,IP Address,5.151.120.60,100,254,True,2024-02-27 17:03:54,R_20dUov1rFP6koh5,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,20,yes,ab,5-star Hotel in Dubai,Dog,Autumn,Teleportation,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,1,1,2,,2,,2,1,"Results(F,control)",
2024-02-27 17:06:07,2024-02-27 17:10:28,IP Address,86.147.188.77,100,260,True,2024-02-27 17:10:28,R_7LZrZ6QzJqQw2aJ,,,,,55.9144,-3.1637,anonymous,EN,Yes,Female,20,yes,Flu,A Lakehouse in France,Dog,Summer,Mindreading,Right,A flashlight,"Fairly fast, with long steps",Understanding and empathy,1,4,1,5,3,2,3,2,"Results(F,Threat)",
2024-02-27 16:47:22,2024-02-27 17:19:18,IP Address,42.243.77.162,100,1916,True,2024-02-27 17:19:19,R_3GvouAqU5MtXR4H,,,,,25.0088,102.6513,anonymous,EN,Yes,Male,23,yes,star,Seaside Villa Greece,Dog,Summer,Teleportation,Right,A knife,"Less fast, head up, looking at the world",Loyalty,5,5,0,4,2,,,6,,"Results(M,Control)"
2024-02-27 17:17:40,2024-02-27 17:20:10,IP Address,86.151.100.223,100,149,True,2024-02-27 17:20:10,R_2iC4Twhkn0lKjAn,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,yes,"Sensitive ",A Lakehouse in France,Tiger,Spring,Mindreading,Left,A knife,"Fairly fast, with long steps",Loyalty,0,1,1,3,,2,4,3,"Results(F,control)",
2024-02-27 17:18:18,2024-02-27 17:21:34,IP Address,77.97.215.55,100,196,True,2024-02-27 17:21:34,R_2Ne8kRXuGMm5a2B,,,,,55.9665,-3.2973,anonymous,EN,Yes,Male,22,yes,SLR,A Lakehouse in France,Cat,Summer,Teleportation,Right,A fire starter,"Less fast, head down",Understanding and empathy,2,2,,1,,,,,,"Results(M,Threat)"
2024-02-27 17:17:53,2024-02-27 17:21:50,IP Address,37.203.171.2,100,236,True,2024-02-27 17:21:50,R_2rVqdsqbRtjsSJ9,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,20,yes,baekhyun,Seaside Villa Greece,Cat,Summer,Flying,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,2,6,2,5,4,2,3,5,"Results(F,Threat)",
2024-02-27 17:21:37,2024-02-27 17:25:28,IP Address,81.154.102.203,100,231,True,2024-02-27 17:25:29,R_4e2pFgL2nL6D4uB,,,,,55.9062,-3.1305,anonymous,EN,Yes,Female,22,yes,Pasta,Seaside Villa Greece,Tiger,Autumn,Mindreading,Right,A fire starter,"Less fast, head up, looking at the world",Intellectual stimulation,2,2,3,2,2,4,3,3,"Results(F,Threat)",
2024-02-27 17:19:26,2024-02-27 17:27:23,IP Address,31.205.8.9,100,477,True,2024-02-27 17:27:24,R_3JQWIKfcYSAzI5P,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,yes,rainbow,Seaside Villa Greece,Dog,Summer,Mindreading,Right,A knife,"Fairly fast, with long steps",Understanding and empathy,2,0,3,0,0,0,0,0,"Results(F,control)",
2024-02-27 17:50:41,2024-02-27 17:53:56,IP Address,185.7.228.215,100,195,True,2024-02-27 17:53:57,R_8Kg0mkSwLz38xAU,,,,,55.9477,-3.1624,anonymous,EN,Yes,Male,21,yes,radiator,Seaside Villa Greece,Dog,Summer,Flying,Right,A fire starter,"Fairly fast, with long steps",Understanding and empathy,2,1,,1,,,,,,"Results(M,Control)"
2024-02-27 18:31:06,2024-02-27 18:37:04,IP Address,31.205.8.7,100,358,True,2024-02-27 18:37:05,R_3rBR1MLmUH7KNRe,,,,,55.9552,-3.2,anonymous,EN,Yes,Male,21,yes,Stev,5-star Hotel in Dubai,Cat,Summer,Flying,Left,A cooking pan,"Fairly fast, with long steps",Understanding and empathy,2,1,2,1,1,,1,1,,"Results(M,Threat)"
2024-02-27 18:59:19,2024-02-27 19:02:00,IP Address,171.4.220.106,100,160,True,2024-02-27 19:02:01,R_4i4gZPZUVh0t9qA,,,,,18.7929,99.0004,anonymous,EN,Yes,Female,21,yes,Rose,A Castle in Scotland,Dog,Summer,Super Strength,Right,A cooking pan,"Fairly fast, with small steps",Understanding and empathy,1,1,4,1,,,1,,"Results(F,control)",
2024-02-27 19:28:58,2024-02-27 19:31:31,IP Address,82.45.228.225,100,153,True,2024-02-27 19:31:31,R_83rLouxTrnCJU0g,,,,,55.9665,-3.2973,anonymous,EN,Yes,Female,20,yes,"um ",Seaside Villa Greece,Dog,Autumn,Mindreading,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",A good sense of humour,0,2,2,0,,,1,5,"Results(F,Threat)",
2024-02-27 19:49:06,2024-02-27 19:55:35,IP Address,90.210.253.137,100,389,True,2024-02-27 19:55:36,R_8CrjgvbolXMwORZ,,,,,55.9133,-3.0129,anonymous,EN,Yes,Female,21,yes,"Psychedelics ",A Castle in Scotland,Dog,Spring,Teleportation,Right,A bottle of water purifying tablets,"Fairly fast, with small steps",Understanding and empathy,3,2,2,3,2,2,4,2,"Results(F,control)",
2024-02-27 20:02:28,2024-02-27 20:04:38,IP Address,188.28.137.231,100,129,True,2024-02-27 20:04:38,R_4K1FPjibG53FQFW,,,,,55.9335,-3.254,anonymous,EN,Yes,Female,20,yes,weasel,Seaside Villa Greece,Dog,Spring,Invisibility,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",Understanding and empathy,2,0,2,2,4,4,0,4,"Results(F,Threat)",
2024-02-27 20:03:19,2024-02-27 20:10:07,IP Address,5.151.139.27,100,408,True,2024-02-27 20:10:07,R_5EU2kugxaoQwBQl,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,42,yes,wind,A Lakehouse in France,Horse,Winter,Invisibility,Right,A knife,"Fairly fast, with long steps",Understanding and empathy,0,0,0,0,,,,,"Results(F,Threat)",
2024-02-27 19:55:38,2024-02-27 20:14:44,IP Address,85.255.235.149,100,1146,True,2024-02-27 20:14:45,R_1QDz19qxy4zFMPo,,,,,51.4964,-0.1224,anonymous,EN,Yes,Female,22,no,tulip,,,,,,,,,,,,,,,,,,
2024-02-27 20:24:23,2024-02-27 20:28:20,IP Address,82.132.219.202,100,237,True,2024-02-27 20:28:21,R_7IEJQJoVf12YU5b,,,,,51.4964,-0.1224,anonymous,EN,Yes,Female,21,yes,"Nibbles ",Seaside Villa Greece,Lizard,Spring,Flying,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",A good sense of humour,0,0,0,0,0,0,0,7,"Results(F,control)",
2024-02-27 20:27:21,2024-02-27 20:34:52,IP Address,82.132.219.149,100,450,True,2024-02-27 20:34:52,R_8d1N0fEyrJCpC0N,,,,,51.4964,-0.1224,anonymous,EN,Yes,Male,20,yes,Crease,A Lakehouse in France,Horse,Spring,Flying,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",Loyalty,5,4,,,5,,0,,,"Results(M,Control)"
2024-02-27 20:30:41,2024-02-27 20:35:09,IP Address,78.86.1.38,100,268,True,2024-02-27 20:35:09,R_46GA2xvZxZSWRsR,,,,,51.4964,-0.1224,anonymous,EN,Yes,Female,20,yes,"citrus ",Seaside Villa Greece,Cat,Autumn,Invisibility,Right,A fire starter,"Fairly fast, with long steps",Understanding and empathy,0,3,,,0,,,2,"Results(F,Threat)",
2024-02-27 20:30:19,2024-02-27 20:38:18,IP Address,82.132.218.221,100,478,True,2024-02-27 20:38:18,R_8k0w90dEJJb7yWf,,,,,51.4964,-0.1224,anonymous,EN,Yes,Male,21,yes,Psychologyisshit,Seaside Villa Greece,Dog,Autumn,Mindreading,Right,A fire starter,"Less fast, head up, looking at the world",Fun and adventurous spirit,1,1,1,1,2,2,2,,,"Results(M,Control)"
2024-02-27 21:34:55,2024-02-27 21:39:00,IP Address,31.94.69.101,100,245,True,2024-02-27 21:39:01,R_21pSE6dMdDLOper,,,,,55.867,-4.2621,anonymous,EN,Yes,Male,20,yes,pasta,Seaside Villa Greece,Dog,Summer,Teleportation,Right,A knife,"Less fast, head up, looking at the world",A good sense of humour,7,,,,,,2,8,,"Results(M,Threat)"
2024-02-27 23:21:28,2024-02-27 23:23:16,IP Address,125.63.12.154,100,108,True,2024-02-27 23:23:17,R_4NK6oF2Bi66SeZw,,,,,-33.8715,151.2006,anonymous,EN,Yes,Female,21,no,machi,,,,,,,,,,,,,,,,,,
2024-02-28 00:02:00,2024-02-28 00:06:46,IP Address,5.151.196.92,100,286,True,2024-02-28 00:06:47,R_1jVEMZeBwX0vYJ8,,,,,55.9552,-3.2,anonymous,EN,Yes,Male,23,yes,"Imnotjiong ",Seaside Villa Greece,Cat,Spring,Mindreading,Right,A fire starter,"Less fast, head down",Understanding and empathy,2,,,,,,10,10,,"Results(M,Threat)"
2024-02-28 01:43:16,2024-02-28 01:55:10,IP Address,82.132.218.65,100,713,True,2024-02-28 01:55:11,R_1UgY2BOorCfQavR,,,,,51.4964,-0.1224,anonymous,EN,Yes,Female,19,yes,iceblink,A Lakehouse in France,Dog,Autumn,Flying,Right,A fire starter,"Fairly fast, with long steps",Understanding and empathy,,,,,,,,6,"Results(F,Threat)",
2024-02-28 02:30:07,2024-02-28 02:31:11,IP Address,106.57.89.153,100,63,True,2024-02-28 02:31:12,R_1qyP4Exq4z1ihmR,,,,,25.0088,102.6513,anonymous,EN,Yes,Male,22,no,Alarm,,,,,,,,,,,,,,,,,,
